Ticker,Name,Sector,Region,P/E Ratio,P/B Ratio,P/S Ratio,Revenue Growth (%),Earnings Growth (%),Profit Margin (%),Free Cash Flow,Div_2025,Momentum 6M (%),Momentum 12M (%),Value Score,Growth Score,Momentum Score,Overall AI Score
ENEL.MI,ENEL,Energy & Ind.,Europe,15.22,3.09,1.14,0.0,0.0,5.26,456624992.0,0.0,20.73,33.47,2,3,2,2
DG.PA,VINCI,Energy & Ind.,Europe,14.33,2.24,0.91,5.2,6.8,6.48,7772125184.0,5.0,6.75,8.58,2,2,3,2
MT.AS,ARCELORMITTAL SA,Energy & Ind.,Europe,11.83,0.68,0.52,1.7,0.0,5.14,-2181750016.0,0.6,38.82,45.37,1,4,1,2
8031.T,MITSUI & CO,Energy & Ind.,Japan,19.84,2.12,1.26,-1.5,-20.4,6.13,-749869268992.0,105.0,73.98,116.59,2,5,1,2
8058.T,MITSUBISHI CORP,Energy & Ind.,Japan,30.77,2.2,1.08,9.9,27.8,3.98,-344219877376.0,105.0,58.71,97.56,3,3,1,2
6301.T,KOMATSU,Energy & Ind.,Japan,14.12,1.68,1.41,3.5,-11.5,9.83,128016121856.0,202.0,24.46,43.33,2,3,1,2
8001.T,ITOCHU CORP,Energy & Ind.,Japan,15.22,2.24,0.97,-0.3,-12.4,6.2,403272859648.0,40.0,18.25,40.43,2,4,2,2
8002.T,MARUBENI CORP,Energy & Ind.,Japan,15.95,2.18,1.09,7.7,-31.5,6.19,177832493056.0,100.0,58.32,119.46,2,3,1,2
6326.T,KUBOTA CORP,Energy & Ind.,Japan,15.8,1.12,0.97,10.3,41.0,6.18,128486752256.0,50.0,43.91,34.98,2,2,1,2
SBRY.L,SAINSBURY (J) PLC ORD 28 4/7P,Technology,UK,18.5,119.4,0.22,2.8,123.3,0.99,393375008.0,0.14,2.44,40.62,2,2,2,2
6501.T,HITACHI,Technology,Japan,28.99,3.45,2.13,10.1,21.3,8.02,0.0,45.0,18.41,31.43,2,3,2,2
6981.T,MURATA MANUFACTURING CO,Technology,Japan,36.36,2.61,3.83,4.3,-64.1,10.65,170220879872.0,60.0,52.49,52.19,3,4,1,2
6954.T,FANUC CORPORATION,Technology,Japan,35.21,3.09,6.63,9.5,12.7,19.35,0.0,101.21,43.55,37.65,3,3,1,2
SHEL.L,SHELL PLC ORD EUR0.07,Energy & Ind.,UK,15.33,150.2,0.72,-3.3,376.2,6.68,22734874624.0,1.45,29.85,24.94,3,2,2,2
RIO.L,RIO TINTO PLC ORD 10P,Energy & Ind.,UK,13.79,217.63,1.76,14.6,-5.6,17.29,3495749888.0,4.02,33.12,29.05,3,3,2,2
GLEN.L,GLENCORE PLC ORD USD0.01,Energy & Ind.,UK,260.05,208.95,0.25,14.3,0.0,0.15,5955874816.0,0.17,62.99,67.82,4,2,1,2
GD,General Dynamics Corporation,Energy & Ind.,US,22.37,3.64,1.78,7.8,0.4,8.01,3357250048.0,6.0,7.6,33.8,3,2,2,2
